20,32,20,100
30,48,40,100
40,64,-1,-1
5,8,100,95
30,48,-1,-1
20,32,-1,-1
5,8,60,100
15,24,-1,100
20,32,65,100
20,32,15,85
30,48,-1,-1
40,64,-1,-1
10,16,10,100
10,16,-1,-1
10,16,-2,-2
20,32,15,75
25,40,60,100
5,8,120,70
15,24,85,100
20,32,65,85
10,16,25,80
10,16,50,90
30,48,20,100
20,32,65,100
20,32,-1,100
10,16,35,75
15,24,18,85
10,16,-1,100
25,40,50,100
35,56,10,100
30,48,-1,-1
30,48,-1,100
40,64,-1,85
20,32,-2,-2
10,16,90,85
5,8,100,80
15,24,80,100
10,16,-1,-1
30,48,50,95
40,64,-1,-1
5,8,-1,-1
5,8,-1,-2
10,16,60,100
20,32,-1,55
10,16,70,100
30,48,30,100
15,24,-1,-1
15,24,120,100
10,16,15,85
10,16,-1,100
20,32,60,100
15,24,100,100
20,32,80,100
5,8,100,50
10,16,100,100
10,16,100,75
25,40,40,100
5,8,-1,100
10,16,-1,-2
5,8,250,100
5,8,85,100
25,40,60,-2
40,64,40,100
5,8,120,85
15,24,75,100
15,24,15,70
5,8,-2,30
15,24,-2,100
25,40,60,100
15,24,95,100
20,32,-1,70
15,24,70,95
30,48,-1,-1
40,64,-1,100
20,32,-2,100
20,32,15,85
20,32,10,95
15,24,10,80
15,24,80,90
5,8,60,100
30,48,-1,75
40,64,-1,100
40,64,-1,-1
5,8,-2,30
35,56,40,100
30,48,-1,-1
30,48,-1,-1
15,24,70,100
5,8,-1,-1
20,32,85,90
15,24,-2,100
25,40,65,100
5,8,-2,30
5,8,120,80
5,8,150,90
15,24,80,90
20,32,-1,60
10,16,95,100
15,24,75,100
15,24,55,95
15,24,100,75
20,32,70,95
25,40,55,100
15,24,-1,80
15,24,20,100
10,16,-1,90
30,48,-1,100
30,48,20,100
30,48,-1,-1
5,8,-1,100
10,16,-1,75
20,32,50,90
30,48,45,100
30,48,-2,100
5,8,-1,-1
40,64,-1,-1
10,16,40,100
5,8,120,75
20,32,80,85
10,16,120,85
35,56,50,95
10,16,-1,-1
10,16,-1,-1
10,16,-1,100
5,8,-1,100
20,32,-1,-1
20,32,-2,-2
20,32,-2,-2
30,48,-1,-1
5,8,-1,-1
5,8,-1,-1
10,16,20,100
15,24,-2,100
15,24,-1,100
10,16,65,85
20,32,90,100
20,32,-2,-2
20,32,40,100
35,56,35,100
5,8,-1,-1
20,32,70,100
20,32,14,85
40,64,-1,55
35,56,15,100
35,56,-1,75
35,56,40,100
25,40,40,100
15,24,-2,90
10,16,-1,-2
20,32,65,100
10,16,-1,-1
10,16,90,100
15,24,-2,100
20,32,-2,100
30,48,45,100
20,32,20,100
5,8,-1,-1
40,64,20,100
25,40,55,95
10,16,80,75
20,32,-1,-1
20,32,-1,-1
10,16,-1,-1
20,32,-2,100
15,24,-2,100
20,32,-1,100
10,16,75,90
15,24,20,100
15,24,50,90
15,24,60,85
20,32,30,90
5,8,100,95
25,40,-1,-1
15,24,-1,100
10,16,-1,-1
10,16,-1,90
35,56,40,100
10,16,-1,85
20,32,-2,100
5,8,200,100
15,24,80,100
30,48,-1,-1
15,24,-1,55
1,1.6,-1,100
15,24,100,100
5,8,140,90
20,32,80,75
20,32,70,100
15,24,-1,75
10,16,-2,-2
20,32,65,100
10,16,90,100
20,32,20,100
20,32,-1,100
15,24,40,100
10,16,-1,-1
10,16,120,100
20,32,-2,90
20,32,65,100
10,16,-1,-1
15,24,20,100
20,32,-1,100
10,16,-1,100
40,64,-1,-1
15,24,-1,100
25,40,70,95
20,32,65,100
15,24,80,100
40,64,-1,95
1,1.6,50,100
30,48,-1,75
20,32,80,80
10,16,-1,-1
5,8,-1,-1
10,16,-2,90
20,32,-1,55
15,24,95,100
15,24,-1,90
10,16,-1,75
20,32,-1,100
20,32,60,-2
30,48,-1,-1
5,8,-1,-1
35,56,35,95
30,48,-1,100
20,32,90,85
20,32,-1,-1
10,16,40,100
20,32,90,100
10,16,120,70
20,32,-1,100
15,24,95,100
15,24,75,100
30,48,40,100
10,16,-1,85
10,16,-1,-1
10,16,80,100
10,16,10,90
20,32,25,100
20,32,40,100
30,48,55,100
10,16,35,100
10,16,70,-2
25,40,40,100
15,24,80,100
15,24,15,70
20,32,-1,100
35,56,60,100
40,64,-1,-1
20,32,15,85
5,8,100,50
